id;name;is_main_group;sub_quantity;university_id;MGU_quantity;MIFI_quantity;SECH_quantity;MEI_quantity;MGIMO_quantity;HSE_quantity;PNIPU_quantity;MIREA_quantity;MTUSI_quantity;MAI_quantity;PGNIU_quantity;RUDN_quantity;ITMO_quantity;REU_quantity;MGTU_quantity;MFTI_quantity;open_sub_quantity;university;is_main_group_int
32041317;9GAG;f;425;;57;15;9;14;36;88;7;15;9;20;9;32;14;23;57;20;425;;0
27089831;E:\music\art;f;50;;13;1;1;2;7;9;1;0;0;4;1;2;1;4;1;3;50;;0
22631975;FutureToday - стажировки и лидерские программы;f;53;;9;0;1;2;5;20;0;1;0;2;0;1;0;2;8;2;53;;0
32169959;Книги & Аудиокниги;f;103;;10;4;3;2;11;13;8;0;3;7;13;11;2;8;7;1;103;;0
35217149;Just Fitness | Фитнес Блог;f;92;;9;2;4;3;3;5;14;4;5;4;11;11;1;10;5;1;92;;0
29094228;Иосиф Бродский;f;70;;13;0;7;0;4;9;2;3;0;5;10;4;0;2;8;3;70;;0
43776215;Я тебя хочу;f;104;;11;6;5;10;2;3;1;7;4;13;10;3;4;3;19;3;104;;0
45012348;Якорь | Мужской журнал;f;108;;5;3;2;5;7;8;9;8;6;4;4;6;5;17;13;6;108;;0
50334704;Современный театр;f;76;;17;0;0;1;7;7;5;2;0;5;18;4;0;4;5;1;76;;0
31935454;Гранты,стипендии,стажировки! Обучение за рубежом;f;286;;70;12;10;3;29;64;2;0;1;3;14;26;5;13;15;19;286;;0
31969346;Суровый технарь;f;323;;13;16;0;32;2;10;22;19;11;55;6;3;23;0;82;29;323;;0
23530818;Котий;f;110;;10;5;4;1;5;6;9;10;9;8;9;8;7;8;8;3;110;;0
28043983;Душевное Кино;f;68;;10;1;1;4;5;6;6;2;1;2;8;7;1;10;2;2;68;;0
